id,label,component,louvain_comm,fstgrdy_comm,deg_cent,wtd_deg_cent,eigen_cent,page_rank,auth_score,hub_score,k_core
medic,medic,1,6,5,5,0.8018118294153392,0.0017761638690367587,0.003129802860731699,0.001776163869036813,0.001776163869036813,3
die,die,1,2,3,14,1.8207943787068672,0.18237398170332722,0.004152465802558248,0.18237398170332741,0.18237398170332741,7
office,office,1,4,4,32,4.782714015039602,0.3357515085114023,0.012085762829399759,0.3357515085114028,0.3357515085114028,8
mechanic,mechanic,1,4,4,6,0.903590921602205,0.006313527865749364,0.0029697847430072088,0.006313527865749426,0.006313527865749426,5
age,age,1,7,8,9,1.336189977360018,0.013924797062423005,0.003934931209387582,0.013924797062423137,0.013924797062423137,5
family,family,1,7,8,7,0.9416512630114015,0.03317300450103813,0.0027090402673251293,0.033173004501038154,0.033173004501038154,5
captain,captain,1,4,4,6,0.8430883822434763,0.017040224583838793,0.0030649069499091852,0.017040224583838855,0.017040224583838855,5
command,command,1,4,4,7,1.1308708484434151,0.032038718424599544,0.0034991427974470617,0.03203871842459958,0.03203871842459958,5
blood,blood,1,2,3,15,1.9786165441084862,0.13348498007237006,0.004647133974871764,0.13348498007237022,0.13348498007237022,8
chance,chance,1,7,3,19,2.543602333672364,0.32427030463007345,0.005899098152696364,0.32427030463007334,0.32427030463007334,9
seat,seat,1,3,1,9,1.3934790968497421,0.07540518314535213,0.003995601357200706,0.0754051831453521,0.0754051831453521,6
citizen,citizen,1,2,3,16,2.250260879522672,0.210293245157672,0.005386570121789813,0.21029324515767198,0.21029324515767198,9
race,race,1,2,3,35,5.185081401416783,0.5385298352186059,0.011219342366774169,0.5385298352186058,0.5385298352186058,9
promotion,promotion,1,4,4,7,0.9695177431027004,0.02617559927945944,0.0030781702523138034,0.026175599279459463,0.026175599279459463,5
land,land,1,2,3,9,1.1739999466499407,0.0410675172137921,0.003026746382988964,0.04106751721379216,0.04106751721379216,7
god,god,1,2,3,23,2.981390577213857,0.23419919797358418,0.0069597617876450526,0.23419919797358446,0.23419919797358446,8
combat,combat,1,6,6,10,1.3176933987914403,0.05736710408686912,0.004029213614366145,0.05736710408686918,0.05736710408686918,5
washington,washington,1,9,2,10,1.2655933712864493,0.026830993062423914,0.003750913956385994,0.02683099306242404,0.02683099306242404,5
rate,rate,1,4,4,7,0.9997414434405875,0.015449225000543092,0.0032182889540071594,0.015449225000543196,0.015449225000543196,5
front,front,1,3,6,10,1.3025225889314744,0.05086649968433226,0.003637663105339116,0.05086649968433239,0.05086649968433239,5
rank,rank,1,4,4,9,1.1916517173106231,0.04270180428977572,0.0032420115418313636,0.042701804289775776,0.042701804289775776,5
fair,fair,1,7,3,10,1.3445813254331755,0.13562594257372673,0.0040914439347194695,0.1356259425737267,0.1356259425737267,7
post-exchange,post-exchange,1,3,1,4,0.6559301913512924,0.019021065795992255,0.0022090587254678562,0.019021065795992293,0.019021065795992293,3
soldier,soldier,1,1,1,34,4.637064679256285,0.4427764324702815,0.01031461072668206,0.4427764324702813,0.4427764324702813,9
freedom,freedom,1,2,3,9,1.386970969623823,0.15454092386940832,0.0031841678242951242,0.15454092386940826,0.15454092386940826,7
love,love,1,2,2,13,1.7378129569028935,0.09211859945937664,0.004548282525701302,0.0921185994593768,0.0921185994593768,7
practice,practice,1,2,4,8,1.0830370072641422,0.04332428030835781,0.002959441831644384,0.04332428030835795,0.04332428030835795,6
month,month,1,1,8,16,2.114611895877583,0.06021690834264473,0.005694784917053727,0.06021690834264488,0.06021690834264488,7
live,live,1,2,3,23,3.106033792401399,0.34077399720605633,0.0067902241374442306,0.3407739972060562,0.3407739972060562,9
day,day,1,1,1,14,1.7932625363487458,0.07752272679831596,0.0046235078352986955,0.07752272679831598,0.07752272679831598,7
paper,paper,1,3,6,9,1.1626146122306924,0.017199880243834356,0.003689921192622401,0.017199880243834446,0.017199880243834446,5
return,return,1,9,6,11,1.4326657002004581,0.02692564195883699,0.004665790246830517,0.0269256419588371,0.0269256419588371,5
lynch,lynch,1,2,9,12,1.598769385743499,0.1263678278418079,0.0038317117903018004,0.12636782784180792,0.12636782784180792,7
spend,spend,1,1,8,10,1.2549312116861744,0.03352492988157378,0.003598367614566973,0.033524929881573844,0.033524929881573844,5
capable,capable,1,4,4,7,0.9312066999822076,0.02596900028357608,0.0029726618189297063,0.025969000283576123,0.025969000283576123,4
oversea,oversea,1,7,6,8,0.9917359856255761,0.026125414015037613,0.002888272338992945,0.026125414015037658,0.026125414015037658,5
lieutenant,lieutenant,1,4,4,9,1.2083754303711431,0.14799429120381083,0.003229547115811615,0.14799429120381083,0.14799429120381083,6
damn,damn,1,6,5,4,0.6507332936927126,0.017341714414473092,0.002667179888128489,0.0173417144144731,0.0173417144144731,3
true,true,1,2,3,12,1.5047022154344858,0.09954492392779789,0.004242496997781731,0.09954492392779796,0.09954492392779796,7
free,free,1,2,3,13,1.6438701125681374,0.13986734765635792,0.003902827924656455,0.13986734765635794,0.13986734765635794,7
ability,ability,1,4,4,14,1.8506967863879562,0.08649412658073004,0.004973503525035664,0.08649412658073012,0.08649412658073012,6
white-man,white-man,1,2,3,17,2.5060789667578818,0.40814003019269957,0.005610029292130915,0.4081400301926994,0.4081400301926994,9
mother,mother,1,7,8,4,0.5683809947929399,0.009566447711875108,0.001893712720539828,0.009566447711875125,0.009566447711875125,4
home,home,1,7,8,24,3.218282534308404,0.12966719649258884,0.008130939924979414,0.12966719649258915,0.12966719649258915,7
battle,battle,1,6,6,8,1.160075401795414,0.03837938724428086,0.003353701361057008,0.038379387244280895,0.038379387244280895,5
school,school,1,4,4,11,1.3459006536090805,0.025397651405009644,0.004045650700174495,0.025397651405009804,0.025397651405009804,5
army,army,1,7,8,20,2.668521112019649,0.1321286690770206,0.006766944290333036,0.13212866907702045,0.13212866907702045,7
time,time,1,1,1,17,2.191923747378043,0.12071786229943687,0.005416832077258328,0.12071786229943691,0.12071786229943691,7
duty,duty,1,6,6,7,0.9015770949257398,0.020866977313830866,0.002918359625273859,0.02086697731383089,0.02086697731383089,4
stop,stop,1,2,3,11,1.392953247102787,0.2014094803264586,0.0031462937948860165,0.20140948032645845,0.20140948032645845,7
arm,arm,1,4,4,3,0.7315889631511716,0.02239543462324091,0.0021959652909677814,0.022395434623240906,0.022395434623240906,3
opportunity,opportunity,1,4,4,15,1.898788718158426,0.12018162849528925,0.004943579549743909,0.12018162849528922,0.12018162849528922,7
wear,wear,1,9,7,3,0.5857925942972297,0.019502606528484328,0.0017870179789791652,0.01950260652848434,0.01950260652848434,3
morale,morale,1,4,4,18,2.3574007797277887,0.16210070046713101,0.0064601666809604346,0.162100700467131,0.162100700467131,7
civilian,civilian,1,1,1,15,1.9300579968784437,0.17670915989393213,0.004692877568031423,0.17670915989393213,0.17670915989393213,7
jim,jim,1,5,9,5,1.3320585779482739,0.05437759578295828,0.003578277485082467,0.05437759578295828,0.05437759578295828,3
spirit,spirit,1,1,1,4,0.4795760801862943,0.008693001632024204,0.0027588771755543617,0.008693001632024269,0.008693001632024269,2
week,week,1,1,1,7,0.9227151661993276,0.016280978956760044,0.0028740037920851314,0.016280978956760075,0.016280978956760075,5
