id,component,louvain_comm,deg_cent,wtd_deg_cent,eigen_cent,page_rank,auth_score,hub_score,k_core,label
teach,1,3,4,0.56165744221876035,0.005689292865738053,0.0013030309680722438,0.005689292865738063,0.005689292865738063,4,teach
democracy,1,2,28,3.72812362355564,0.16791646007532712,0.006528308880538316,0.16791646007532723,0.16791646007532723,10,democracy
right,1,2,14,2.2116813839938803,0.21313869918285352,0.003306525746828635,0.21313869918285366,0.21313869918285366,10,right
pray,1,2,6,1.0300969148636407,0.013458268166329685,0.0024166422463555567,0.013458268166329671,0.013458268166329671,4,pray
town,1,6,28,3.9771419307387816,0.16766950036646786,0.005726851867438491,0.16766950036646808,0.16766950036646808,12,town
volunteer,1,1,5,0.7265962584047554,0.00712108863519913,0.0015341765971413103,0.007121088635199124,0.007121088635199124,5,volunteer
hope,1,2,18,2.409634977730327,0.1464315911060675,0.003973107272513851,0.1464315911060675,0.1464315911060675,10,hope
complete,1,7,5,0.8219529627510622,0.011216890121683797,0.0016768379654425337,0.011216890121683787,0.011216890121683787,5,complete
sit,1,4,8,1.190820545845861,0.04982783962165002,0.0023266380435337784,0.04982783962164998,0.04982783962164998,6,sit
nation,1,2,25,3.3126251862103113,0.1439234916101586,0.005206420413945691,0.1439234916101586,0.1439234916101586,10,nation
civilian,1,1,38,5.300222973535172,0.24040180743843487,0.007725423319650852,0.24040180743843487,0.24040180743843487,13,civilian
qualify,1,3,18,2.649737174522741,0.05257551021683032,0.004142858818513161,0.052575510216830525,0.052575510216830525,11,qualify
people,1,2,44,6.542802785411868,0.6515297469506405,0.008699742746402086,0.6515297469506403,0.6515297469506403,13,people
week,1,6,24,3.5865401149524985,0.07886649562174367,0.005392667099141995,0.07886649562174383,0.07886649562174383,11,week
family,1,5,14,2.1298553957920436,0.04790141883284593,0.0034236119983851133,0.04790141883284592,0.04790141883284592,10,family
treat,1,2,38,5.371654637680852,0.4300654969678981,0.00771001725119526,0.4300654969678982,0.4300654969678982,13,treat
cloth,1,4,11,1.4424017103929208,0.01630935808882031,0.002510386557750234,0.0163093580888203,0.0163093580888203,8,cloth
