source,target,weight
negro,break,0.1494349657107584
camp,fort,0.1490806654172113
volunteer,choose,0.14900643509982398
fight,feel,0.14893322624262773
month,spend,0.14885250607332207
race,human,0.14858812927385412
race,understand,0.14858812927385412
day,night,0.14810184717359168
west,south,0.14809302402442762
treat,alike,0.1479823514435862
white,mix,0.14785041202631008
stop,lynch,0.1477993493708974
battle,blood,0.14779384673009688
battle,front,0.14779384673009688
front,paper,0.14779384673009688
arm,service,0.14763787554432325
white,chance,0.14763781925153482
office,lieutenant,0.14721836731791912
black-man,call,0.1461671425722656
south,white-man,0.14603564782619322
defense,physical,0.14578952572449344
military,physical,0.14574839208422924
marry,money,0.1457456635689873
black-man,troop,0.14570967414442595
negro,speech,0.1455506410862626
right,privilege,0.14523852992179964
pass,night,0.1452347259682255
south,bus,0.14485362243876337
white,black,0.14461532654949438
south,boy,0.14459104724613878
chance,ability,0.14445830005339816
people,treat,0.14445818193686136
war,live,0.14440715324000925
opportunity,capable,0.14437289833081535
citizen,prejudice,0.1441911846953234
south,country,0.1441621271128821
wear,allow,0.1439211838612972
camp,post,0.14390990986222046
morale,office,0.14360547005398744
sick,duty,0.14349647123782722
civilian,police,0.14345496853475695
negro,lynch,0.14339448709794522
fight,live,0.1433943263310495
black-man,civilian,0.14336954884121175
soldier,station,0.14322331110500816
company,rate,0.1430011511435917
live,forget,0.14286491206142563
commissioned,hold,0.14278417695545217
plant,army,0.14273036157513702
people,live,0.14265326918298557
day,pass,0.14240016234730737
democracy,suppose,0.14235183564814996
month,army,0.14218419709449837
white,prejudice,0.14214047598557392
time,boy,0.14199327696201355
south,police,0.14192375080357794
post-exchange,theater,0.14165907540504155
jim,lynch,0.14153935865801937
south,send,0.14147049052991997
blood,mind,0.14139275236204132
white,call,0.1412173336388994
office,soldier,0.14120549335685828
color,fight,0.14109556109716923
sick,eat,0.14086271124487545
lord,trust,0.1408338381276584
people,country,0.14076273873287648
field,texas,0.14073148049923834
washington,give,0.14045549104499083
negro,opportunity,0.14028430565549102
morale,send,0.14022010229345733
people,god,0.1401862969954396
black-man,morale,0.1401859935385141
war,start,0.14015565013302134
race,prejudice,0.14001878451112498
win,hope,0.13981631470407366
company,office,0.13972668089613413
camp,station,0.13940393296860334
pass,time,0.13931648623590576
home,station,0.13922876639287118
discrimination,post,0.13912524911438048
spirit,cooperate,0.13911348254347897
west,texas,0.13909183882276158
captain,friend,0.13907107808666402
washington,return,0.13907107808666402
return,head,0.13907107808666402
week,night,0.13899547248417038
right,white-man,0.13890587741058544
democracy,mean,0.13889877746213825
fight,segregation,0.1388390208001442
black-man,people,0.13880681491798175
negro,prejudice,0.13876135794136438
white,right,0.13868462019627978
east,south,0.13850465156285408
hell,catch,0.13834199941877992
crow,lynch,0.1383050030824787
