id,label,component,louvain_comm,fstgrdy_comm,deg_cent,wtd_deg_cent,eigen_cent,page_rank,auth_score,hub_score,k_core
close,close,1,7,4,11,1.8113823334843304,0.2594147762654484,0.007680485111760472,0.2594147762654484,0.2594147762654484,7
service,service,1,4,1,24,3.4687791590867767,0.5957502169710309,0.013547713040068929,0.5957502169710308,0.5957502169710308,7
defense,defense,1,5,2,8,1.4894649849921058,0.20522870984978298,0.006680708483885886,0.2052287098497832,0.2052287098497832,6
food,food,1,3,3,10,1.676531025318276,0.1340177013764324,0.007734930687342627,0.1340177013764325,0.1340177013764325,6
fight,fight,1,1,6,18,2.808121818136723,0.4056493885378023,0.01105199271154861,0.4056493885378028,0.4056493885378028,7
educate,educate,1,6,5,11,1.4914972763070167,0.15681975253656,0.0065791521502812575,0.1568197525365602,0.1568197525365602,6
office,office,1,3,3,22,3.3113615364108235,0.4475042766166148,0.013871471946751271,0.4475042766166154,0.4475042766166154,7
organ,organ,1,6,5,11,1.5135062325774067,0.18362649264307865,0.0079438567754277125,0.18362649264307868,0.18362649264307868,6
spend,spend,1,5,2,10,1.4245902169545182,0.16951144559721143,0.0064758163255185745,0.16951144559721157,0.16951144559721157,6
money,money,1,5,2,10,1.5975973443792897,0.15093721532065665,0.007208379237529668,0.1509372153206568,0.1509372153206568,6
white-man,white-man,1,1,6,5,0.9528647227672207,0.1287251835925664,0.0042068192669419925,0.12872518359256652,0.12872518359256652,5
wait,wait,1,6,7,4,0.6188244054351151,0.0545289256450524,0.0036340938994644267,0.05452892564505235,0.05452892564505235,4
guard,guard,1,6,3,11,1.5463361724802507,0.15870207882684742,0.006889009829264201,0.15870207882684748,0.15870207882684748,6
race,race,1,1,6,13,2.3250304258567147,0.2875637108032397,0.008889667900150038,0.28756371080323984,0.28756371080323984,7
month,month,1,7,1,16,2.292028326704925,0.37814305760920336,0.009447579240757956,0.37814305760920364,0.37814305760920364,7
time,time,1,7,4,29,4.140270215695723,0.6138432592177463,0.01726046185928751,0.6138432592177465,0.6138432592177465,7
army,army,1,4,1,43,6.076536290128619,0.9999999999999999,0.024001824175985138,1,1,7
air,air,1,4,1,16,2.728435840758515,0.536089488819881,0.010576014252792648,0.5360894888198808,0.5360894888198808,7
child,child,1,2,4,8,1.490512721824204,0.11972292384612208,0.006407453785056042,0.11972292384612213,0.11972292384612213,6
nation,nation,1,5,2,8,1.221098778838939,0.08909232712670566,0.006220921438458709,0.0890923271267056,0.0890923271267056,5
civilian,civilian,1,4,1,23,3.370164976656731,0.5286961358043999,0.013650804142687399,0.5286961358044004,0.5286961358044004,7
sleep,sleep,1,7,4,3,0.4344124108693742,0.015782441288467192,0.0029262197401101766,0.015782441288467165,0.015782441288467165,3
week,week,1,7,4,17,2.66382494875317,0.3665863618837497,0.01088256651767692,0.3665863618837499,0.3665863618837499,7
family,family,1,2,4,7,1.1882041327806423,0.11432070525129506,0.005309088622290114,0.1143207052512951,0.1143207052512951,6
rate,rate,1,3,3,15,2.1412671642025773,0.26257142417107004,0.00935509333155678,0.2625714241710702,0.2625714241710702,6
