source,target,weight
town,post,0.1380265335699711
money,half,0.13800066706092182
transfer,unit,0.13800066706092182
air,month,0.13776910484262533
cook,cloth,0.1377103922906289
ability,noncom,0.13767843395431223
air,enlist,0.13750446074620662
train,office,0.1374602528725052
military-police,reason,0.13728867507365936
train,field,0.1369508597674728
air,service,0.1367623465322591
bad,pretty,0.13670309361413882
army,enter,0.13660876883601647
job,qualify,0.13639089910943322
freedom,live,0.1358866306104956
effort,feel,0.1356605093238738
food,half,0.135514940691722
pass,night,0.13551060815620836
month,time,0.1352400164780992
close,care,0.1352333328562134
care,farm,0.1352333328562134
mechanic,spend,0.13502439738365332
school,army,0.13494642361203113
office,qualify,0.13487527749713912
food,poor,0.13483056293648668
branch,army,0.13460033990973805
service,army,0.13456854618987557
civilian,money,0.13450379523449568
army,chance,0.13433446301322666
time,take,0.1342939056568707
job,duty,0.13421373727549543
transfer,chance,0.13412066814172569
line,post,0.13382985127039762
treat,noncom,0.13378945870697176
field,type,0.13359907265077403
singl,wife,0.13339573733188342
commissioned,company,0.13338593955441733
peace,world,0.13333580299911607
home,boy,0.13327077778721205
treat,town,0.1329898287598616
branch,enter,0.13294919928745674
school,chance,0.1329459538096011
fair,leave,0.1326745325110065
trade,experi,0.13263992962865676
limit,physical,0.13237836560054153
pick,give,0.13233059331023608
pass,post,0.1321644013452693
war,deal,0.1320822245973578
commissioned,call,0.13203682909058914
sleep,hard,0.13165561018339222
corp,job,0.13156906667615934
air,job,0.13156906667615934
marry,army,0.13144485388484417
private,call,0.13141096414847123
mechanic,class,0.13134421492944717
mechanic,handl,0.13134421492944717
mechanic,enter,0.13134421492944717
privilege,equal,0.13134421492944717
force,enter,0.13134421492944717
military-police,type,0.13134421492944717
handl,type,0.13134421492944717
service,major,0.13127107150807274
office,organ,0.1310790476717427
inspect,damn,0.13107839533260793
service,transfer,0.1309259878364407
plant,line,0.13068499528726327
school,opportunity,0.13068499528726327
ability,chance,0.1305622701881995
time,half,0.13045276651417304
commissioned,week,0.1304286228821927
north,child,0.13040535956336857
station,soldier,0.1301071556961511
combat,outfit,0.13001924480514354
civilian,job,0.13000876834641004
army,infantry,0.12995058942808543
physical,feel,0.1299417255576588
army,physical,0.1297059895204512
basic,feel,0.1296643903220896
home,give,0.12956070158357239
fit,chance,0.12955608260762272
train,job,0.12942835798593863
pass,close,0.129352627520238
life,people,0.12922790057306816
furlough,fellow,0.12921485669495814
white,live,0.12918826656005772
command,ability,0.1291304579886659
food,company,0.12910751837577006
field,poor,0.1290209783346866
experi,military-police,0.12886344834343202
army,enlist,0.1286266981694777
educate,qualify,0.12852106490346804
spend,give,0.12852106490346804
treat,boy,0.12850635660230392
realize,condition,0.1280605216199939
realize,deal,0.1280605216199939
limit,combat,0.12799241878418874
combat,send,0.12799241878418874
mechanic,private,0.12790791762754375
mechanic,type,0.12790791762754375
cloth,poor,0.1277327077890168
infantry,noncom,0.12763274333935587
outfit,poor,0.12711276426812895
train,camp,0.12693986161149307
war,live,0.12669235951258492
life,wrong,0.1266810903900906
furlough,time,0.12657374163701793
guard,duty,0.12651874604872293
race,people,0.12640338790058553
train,ship,0.12634139653446816
limit,feel,0.12588305733365396
life,trade,0.12587162282297984
corp,civilian,0.12579532168240815
life,job,0.12556744743367623
war,realize,0.12547094820258728
war,age,0.12547094820258728
week,camp,0.12544716707696518
race,treat,0.12540001631392506
experi,type,0.12533389177478818
war,service,0.12522873175005958
train,send,0.1252214886953121
race,person,0.12520907560514002
service,morale,0.12519873151476324
educate,lose,0.1249757388000147
camp,bad,0.12487934993516657
hope,give,0.12477843527210927
give,call,0.12477843527210927
mechanic,deal,0.12468890441988206
money,govern,0.12440175746359092
wast,country,0.12434286950162046
day,home,0.12430961904836227
close,cloth,0.12417591401693438
organ,command,0.12417591401693438
defense,country,0.12404840305683253
fight,educate,0.12391066101513484
furlough,give,0.12376573769355677
fit,hold,0.12372543597894774
noncom,poor,0.12350376151247679
mechanic,line,0.12345368084353206
war,world,0.12334067346502038
job,physical,0.12298837129050691
spend,half,0.12275308740546831
educate,satisfy,0.12274846879583225
month,satisfy,0.12266040874898289
home,town,0.12261606930781725
army,combat,0.12259947831497908
win,country,0.12253824589928752
service,combat,0.12236012920079253
treat,fair,0.12226830346422797
learn,take,0.1220699314302637
time,duty,0.12203963176163025
outfit,pretty,0.1218850491488846
furlough,soldier,0.1218522502403852
war,nation,0.12178448372068093
life,freedom,0.12178264898533014
war,soldier,0.1217511543568022
force,give,0.12166448242260028
private,ability,0.1216388302727655
equal,treat,0.12158412966184372
military-police,treat,0.12158412966184372
limit,send,0.12153006310735992
service,draft,0.12148272841803898
civilian,infantry,0.12140871434607797
white,trouble,0.12135572441623572
command,hard,0.12134310586637576
week,field,0.12123177336218474
civilian,wrong,0.12114281944172449
learn,chance,0.12111204485660368
experi,field,0.12102363685598722
rate,pick,0.12093166673296889
war,lot,0.12077838184609357
week,cloth,0.12055668625643429
month,enter,0.12020671119732802
basic,hard,0.1201516742847323
hard,type,0.1201516742847323
food,time,0.12014579457377018
country,age,0.12013962524188515
organ,time,0.12007129392631373
