source,target,weight,group
air,force,0.15173021612487758,black
negro,hell,0.15143118035584938,black
free,land,0.15139077953202676,black
family,govern,0.1513715858092549,white
ability,prove,0.1512872772590958,black
white-man,black-woman,0.1512800099260021,black
civilian,soldier,0.15117925210599706,white
people,race,0.15113453472310942,black
mother,home,0.15111044458784273,black
doctor,care,0.15109729593290017,black
child,family,0.1510163413974582,white
night,sgt,0.1510163413974582,white
war,life,0.1509702984884608,black
defense,farm,0.1509682649890631,black
office,ability,0.1509024536690095,black
war,black-man,0.15090108040874858,black
home,close,0.15086476474231816,black
pass,home,0.15081698108347294,white
pray,hope,0.15078160361537254,black
plant,marry,0.15076357773149932,black
battle,carry,0.15076357773149932,black
bus,town,0.15073061793653098,white
win,unit,0.15067981432557398,black
north,soldier,0.15052675342834512,black
country,serve,0.15028016753422935,black
school,educate,0.15016931504508987,black
north,black-man,0.15015524592781418,black
train,soldier,0.150101476216044,white
office,army,0.15009113467910748,black
army,soldier,0.15008070860318368,black
equal,race,0.15006852702717843,black
race,citizen,0.14993482415746157,black
day,furlough,0.14990353631519893,white
time,spend,0.14965934300819006,black
life,give,0.14960346414223988,white
duty,physical,0.14943683765241084,black
negro,break,0.1494349657107584,black
camp,fort,0.1490806654172113,black
volunteer,choose,0.14900643509982398,black
fight,feel,0.14893322624262773,black
month,spend,0.14885250607332207,black
race,human,0.14858812927385412,black
race,understand,0.14858812927385412,black
food,cloth,0.1485594004365671,white
civilian,pay,0.14835921455848305,white
civilian,give,0.14835921455848305,white
army,stay,0.1482704020429655,white
furlough,morale,0.14821582355798105,white
money,send,0.14810231939562918,white
day,night,0.14810184717359168,black
west,south,0.14809302402442762,black
treat,alike,0.1479823514435862,black
white,mix,0.14785041202631008,black
stop,lynch,0.1477993493708974,black
battle,blood,0.14779384673009688,black
battle,front,0.14779384673009688,black
front,paper,0.14779384673009688,black
field,outfit,0.1477074381230015,white
ability,polit,0.14768567033288263,white
arm,service,0.14763787554432325,black
white,chance,0.14763781925153482,black
color,separate,0.14757440714800996,white
freedom,duty,0.14751872481819783,white
soldier,town,0.14743891710476278,white
home,camp,0.14725203740346657,white
office,lieutenant,0.14721836731791912,black
air,enter,0.14721471438531603,white
guard,military-police,0.14699806734124987,white
rate,promotion,0.1468670505645811,white
branch,wrong,0.14648453087964114,white
soldier,morale,0.14635597246743856,white
bus,bad,0.14627295479464206,white
defense,home,0.14625716360576724,white
family,home,0.14625716360576724,white
black-man,call,0.1461671425722656,black
wast,qualify,0.1460841613650848,white
south,white-man,0.14603564782619322,black
people,pay,0.14601142834035227,white
eat,poor,0.1460033694892227,white
branch,infantry,0.14587665483717333,white
defense,physical,0.14578952572449344,black
military,physical,0.14574839208422924,black
marry,money,0.1457456635689873,black
black-man,troop,0.14570967414442595,black
negro,speech,0.1455506410862626,black
camp,town,0.14554620916682687,white
train,army,0.1455359636917924,white
negro,live,0.145520153252751,white
ability,outfit,0.1454478292517557,white
right,privilege,0.14523852992179964,black
pass,night,0.1452347259682255,black
life,live,0.1448538873921246,white
south,bus,0.14485362243876337,black
color,fight,0.14480027315893013,white
white,black,0.14461532654949438,black
south,boy,0.14459104724613878,black
nation,unit,0.14451340806295654,white
army,lot,0.14447898943565807,white
chance,ability,0.14445830005339816,black
people,treat,0.14445818193686136,black
war,live,0.14440715324000925,black
opportunity,capable,0.14437289833081535,black
sgt,fair,0.14437221621435836,white
outfit,duty,0.14425299715262138,white
time,inspect,0.14422509069579703,white
citizen,prejudice,0.1441911846953234,black
south,country,0.1441621271128821,black
month,army,0.14410718044199655,white
educate,person,0.14406086587401212,white
wear,allow,0.1439211838612972,black
camp,post,0.14390990986222046,black
morale,office,0.14360547005398744,black
sick,duty,0.14349647123782722,black
civilian,police,0.14345496853475695,black
negro,lynch,0.14339448709794522,black
fight,live,0.1433943263310495,black
black-man,civilian,0.14336954884121175,black
office,experi,0.14329523350936885,white
mechanic,infantry,0.14324810985755262,white
mechanic,tell,0.14324810985755262,white
soldier,station,0.14322331110500816,black
drill,call,0.14315344497247823,white
day,night,0.14313040775444208,white
system,morale,0.14310465209759962,white
company,rate,0.1430011511435917,black
live,forget,0.14286491206142563,black
commissioned,hold,0.14278417695545217,black
plant,army,0.14273036157513702,black
people,live,0.14265326918298557,black
learn,pick,0.14264174487222966,white
opportunity,qualify,0.14244108492663404,white
close,soldier,0.14241136393753284,white
day,pass,0.14240016234730737,black
service,physical,0.1423812602389715,white
democracy,suppose,0.14235183564814996,black
enlist,equal,0.1422508587500117,white
month,army,0.14218419709449837,black
white,prejudice,0.14214047598557392,black
soldier,idea,0.1421046510896031,white
rate,outfit,0.14199519747458872,white
time,boy,0.14199327696201355,black
army,rate,0.14194760611764293,white
opinion,test,0.1419316782760564,white
south,police,0.14192375080357794,black
time,soldier,0.14185781709537776,white
corp,physical,0.1417321802676415,white
air,physical,0.1417321802676415,white
war,job,0.14169979453740142,white
post-exchange,theater,0.14165907540504155,black
promotion,polit,0.1416469465549423,white
jim,lynch,0.14153935865801937,black
week,soldier,0.14149314624773743,white
south,send,0.14147049052991997,black
blood,mind,0.14139275236204132,black
white,call,0.1412173336388994,black
office,soldier,0.14120549335685828,black
war,freedom,0.14115308885873307,white
color,fight,0.14109556109716923,black
army,feel,0.14109006991883172,white
guard,experi,0.14106660727646872,white
civilian,effort,0.14106069910324,white
service,enter,0.1409933324646427,white
company,run,0.14095933160724797,white
sick,eat,0.14086271124487545,black
lord,trust,0.1408338381276584,black
people,country,0.14076273873287648,black
field,texas,0.14073148049923834,black
washington,give,0.14045549104499083,black
negro,opportunity,0.14028430565549102,black
camp,send,0.14022994204063502,white
morale,send,0.14022010229345733,black
people,god,0.1401862969954396,black
black-man,morale,0.1401859935385141,black
war,start,0.14015565013302134,black
race,prejudice,0.14001878451112498,black
war,civilian,0.13992426877630199,white
win,hope,0.13981631470407366,black
limit,duty,0.1397419802115389,white
limit,guard,0.13973715933956252,white
send,tell,0.13973715933956252,white
company,office,0.13972668089613413,black
corp,limit,0.13969549947053847,white
job,experi,0.13948454382684333,white
camp,station,0.13940393296860334,black
pass,time,0.13931648623590576,black
war,life,0.139250197644715,white
home,station,0.13922876639287118,black
ability,poor,0.13918025931296624,white
discrimination,post,0.13912524911438048,black
spirit,cooperate,0.13911348254347897,black
west,texas,0.13909183882276158,black
win,fight,0.13908690783782057,white
captain,friend,0.13907107808666402,black
washington,return,0.13907107808666402,black
return,head,0.13907107808666402,black
week,night,0.13899547248417038,black
money,country,0.1389417825615578,white
right,white-man,0.13890587741058544,black
democracy,mean,0.13889877746213825,black
fight,segregation,0.1388390208001442,black
black-man,people,0.13880681491798175,black
negro,prejudice,0.13876135794136438,black
white,right,0.13868462019627978,black
transfer,outfit,0.13858838770773096,white
east,south,0.13850465156285408,black
hell,catch,0.13834199941877992,black
promotion,test,0.1383356276659714,white
army,experi,0.13832148281361517,white
crow,lynch,0.1383050030824787,black
discrimination,lynch,0.1383050030824787,black
army,test,0.1380925601571692,white
army,mind,0.1380925601571692,white
bus,color,0.13808468757798745,black
race,prove,0.13806083876754738,black
town,post,0.1380265335699711,white
money,half,0.13800066706092182,white
transfer,unit,0.13800066706092182,white
town,time,0.1379538386549377,black
air,month,0.13776910484262533,white
cook,cloth,0.1377103922906289,white
separate,differ,0.13767853264742352,black
ability,noncom,0.13767843395431223,white
army,home,0.1375724120347788,black
white,lieutenant,0.13755018049823606,black
air,enlist,0.13750446074620662,white
war,home,0.1374625742659278,black
train,office,0.1374602528725052,white
camp,transfer,0.13734279614723105,black
color,white-man,0.13731936881044526,black
military-police,reason,0.13728867507365936,white
love,mind,0.13714851200345723,black
express,chance,0.13712959607270028,black
feel,mind,0.13703862185646443,black
home,mile,0.13702853785099656,black
negro,freedom,0.13701976754629322,black
democracy,nation,0.13701540706760523,black
train,field,0.1369508597674728,white
force,black-man,0.13687353890043535,black
air,service,0.1367623465322591,white
town,soldier,0.1367130467768135,black
bad,pretty,0.13670309361413882,white
army,enter,0.13660876883601647,white
town,mile,0.1365749803845264,black
color,matter,0.1365732708245147,black
opportunity,ability,0.13649854444883303,black
qualify,school,0.1364333149699561,black
freedom,die,0.13640476991898137,black
job,qualify,0.13639089910943322,white
sundai,night,0.13638146220379133,black
branch,leader,0.136292661993373,black
week,past,0.136292661993373,black
country,hate,0.13611724148608317,black
freedom,live,0.1358866306104956,white
race,nation,0.13583576043284556,black
democracy,word,0.13582534356371365,black
effort,feel,0.1356605093238738,white
food,half,0.135514940691722,white
pass,night,0.13551060815620836,white
station,allow,0.1354264284350961,black
month,time,0.1352400164780992,white
close,care,0.1352333328562134,white
care,farm,0.1352333328562134,white
money,bui,0.1350725343475158,black
division,leader,0.13504845857900566,black
color,treat,0.13502557220263675,black
command,commissioned,0.1350247587029148,black
mechanic,spend,0.13502439738365332,white
school,army,0.13494642361203113,white
body,realize,0.13494100742282616,black
office,qualify,0.13487527749713912,white
food,poor,0.13483056293648668,white
north,negro,0.13466916430591405,black
